Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-10-27T14:18:00.812531Z,NVDA,SELL - MARKET,1,USD 530.11,USD 530.09,USD,1.1832
2020-10-27T14:18:16.914218Z,MSFT,SELL - MARKET,2,USD 211.23,USD 422.44,USD,1.1832
2020-10-27T14:18:30.919129Z,LMND,SELL - MARKET,2,USD 50.52,USD 101.03,USD,1.1833
2020-10-31T23:29:12.860032Z,,CUSTODY FEE,,,USD -0.01,USD,1.1764
2020-11-05T17:32:09.321758Z,SPCE,BUY - MARKET,13,USD 18.54,USD 242.19,USD,1.1797
2020-11-09T15:14:25.452454Z,PFE,BUY - MARKET,15,USD 38.79,USD 583.03,USD,1.1865
2020-11-09T15:35:24.384385Z,MSFT,BUY - MARKET,2,USD 226.11,USD 453.40,USD,1.1845
2020-11-09T15:37:15.741292Z,,CASH TOP-UP,,,USD 96.94,USD,1.1822
2020-11-09T15:37:48.994303Z,,CASH TOP-UP,,,USD 62,USD,1.1824
2020-11-09T15:39:08.695852Z,,CASH TOP-UP,,,USD 200,USD,1.1833
2020-11-09T15:39:11.470135Z,,CASH TOP-UP,,,USD 200,USD,1.1833
2020-11-09T15:39:25.198315Z,,CASH WITHDRAWAL,,,USD -200,USD,1.1832
2020-11-09T15:40:53.294088Z,,CASH TOP-UP,,,USD 30,USD,1.1832
2020-11-09T15:41:08.862932Z,NVDA,BUY - MARKET,1,USD 582.77,USD 583.95,USD,1.1832
2020-11-16T10:07:35.692381Z,,CASH TOP-UP,,,USD 166.80,USD,1.1839
2020-11-16T14:30:29.312638Z,INTC,BUY - MARKET,3.99913062,USD 46.01,USD 185.18,USD,1.1832
2020-11-19T14:30:14.332755Z,BA,SELL - MARKET,1,USD 200,USD 198.81,USD,1.1826
2020-11-25T19:26:08.604724Z,VTRS,BUY - MARKET,7.138815,USD 17.16,USD 122.50,USD,1.1916
2020-12-01T00:01:59.011254Z,,CUSTODY FEE,,,USD -0.03,USD,1.1938
2020-12-02T08:45:13.586713Z,INTC,DIVIDEND,,,USD 1.17,USD,1.2065
2020-12-04T15:17:29.402223Z,,CASH TOP-UP,,,USD 300,USD,1.2157
2020-12-04T15:20:14.354212Z,SPCE,BUY - MARKET,12,USD 28.64,USD 343.68,USD,1.2151
2020-12-11T06:59:15.377323Z,MSFT,DIVIDEND,,,USD 0.95,USD,1.2160
2020-12-14T14:51:28.951306Z,,CASH TOP-UP,,,USD 255,USD,1.2162
2020-12-14T14:52:05.480433Z,SPCE,BUY - MARKET,3,USD 27.49,USD 82.47,USD,1.2163
2020-12-23T17:18:31.751675Z,SPCE,BUY - MARKET,8,USD 26.81,USD 215.69,USD,1.2194
2020-12-28T14:32:55.598789Z,GILD,SELL - MARKET,9,USD 57.04,USD 513.34,USD,1.2229
2020-12-28T15:27:57.916320Z,,CASH TOP-UP,,,USD 200,USD,1.2231
2020-12-28T15:28:22.537266Z,,CASH TOP-UP,,,USD 20,USD,1.2233
2020-12-28T15:28:35.020239Z,TWLO,BUY - MARKET,2,USD 349,USD 698,USD,1.2232
2020-12-30T07:40:12.354656Z,NVDA,DIVIDEND,,,USD 0.14,USD,1.2281
2020-12-31T09:18:33.582326Z,GILD,DIVIDEND,,,USD 5.20,USD,1.2287
2021-01-01T02:20:07.095455Z,,CUSTODY FEE,,,USD -0.04,USD,1.2219
2021-01-22T20:12:25.980125Z,AAL,SELL - MARKET,9.50155763,USD 15.69,USD 149.07,USD,1.2170
2021-01-22T20:12:39.507076Z,DBX,SELL - MARKET,5,USD 22.10,USD 109.28,USD,1.2170
2021-01-22T20:12:53.460296Z,MRNA,SELL - MARKET,1,USD 130.92,USD 129.70,USD,1.2170
2021-01-22T20:13:09.092340Z,VTRS,SELL - MARKET,9,USD 17.43,USD 155.65,USD,1.2170
2021-01-22T20:14:11.722277Z,IBM,BUY - MARKET,4,USD 118.56,USD 475.45,USD,1.2170
2021-01-22T20:55:58.159298Z,,CASH TOP-UP,,,USD 44.43,USD,1.2173
2021-01-27T16:13:39.829675Z,GME,BUY - MARKET,0.4,USD 366.62,USD 146.65,USD,1.2094
2021-01-28T16:26:23.068646Z,INTC,SELL - MARKET,3,USD 57.05,USD 171.14,USD,1.2126
2021-01-28T16:36:30.439330Z,GME,BUY - MARKET,0.8,USD 189.94,USD 151.95,USD,1.2129
2021-01-29T18:33:07.485263Z,TWLO,SELL - MARKET,2,USD 355.77,USD 710.30,USD,1.2136
2021-02-01T03:05:12.097819Z,,CUSTODY FEE,,,USD -0.04,USD,1.2129
2021-02-01T15:12:14.393595Z,GME,BUY - LIMIT,1,USD 265.44,USD 266.64,USD,1.2095
2021-02-01T15:22:37.545219Z,GME,BUY - LIMIT,1,USD 240,USD 241.20,USD,1.2099
2021-02-01T20:50:06.786103Z,GME,BUY - LIMIT,1,USD 220,USD 221.20,USD,1.2064
2021-02-09T12:54:22.720764Z,,CASH TOP-UP,,,USD 242,USD,1.2103
2021-02-09T14:31:13.634786Z,ON,BUY - MARKET,6.07594936,USD 39.50,USD 241.20,USD,1.2102
2021-02-26T17:10:12.639280Z,INTC,SELL - MARKET,5.17229598,USD 61.30,USD 317.06,USD,1.2087
2021-02-26T17:10:35.075543Z,SPCE,BUY - MARKET,8,USD 38.28,USD 306.24,USD,1.2087
2021-03-01T03:32:15.239243Z,,CUSTODY FEE,,,USD -0.04,USD,1.2089
2021-03-02T05:32:48.110545Z,INTC,DIVIDEND,,,USD 1.53,USD,1.2024
2021-03-08T05:42:18.430850Z,PFE,DIVIDEND,,,USD 4.97,USD,1.1912
2021-03-09T20:59:08.004495Z,GME,SELL - MARKET,4.2,USD 249,USD 1045.78,USD,1.1905
2021-03-10T17:59:24.216893Z,GME,BUY - MARKET,1,USD 243.20,USD 244.39,USD,1.1913
2021-03-10T18:17:58.420054Z,GME,SELL - LIMIT,1,USD 270,USD 268.80,USD,1.1913
2021-03-10T19:03:37.729951Z,RBLX,BUY - MARKET,10,USD 69.85,USD 699.69,USD,1.1919
2021-03-11T05:31:08.442774Z,IBM,DIVIDEND,,,USD 5.54,USD,1.1930
2021-03-12T05:41:56.211177Z,MSFT,DIVIDEND,,,USD 0.95,USD,1.1966
2021-04-01T02:16:55.242553Z,,CUSTODY FEE,,,USD -0.50,USD,1.1731
2021-04-01T04:29:59.520071Z,NVDA,DIVIDEND,,,USD 0.14,USD,1.1727
2021-04-15T13:54:25.113091Z,SPCE,BUY - MARKET,16,USD 24.50,USD 391.98,USD,1.1981
2021-04-28T19:09:53.074496Z,,CASH TOP-UP,,,USD 300,USD,1.2119
2021-04-28T19:10:14.180078Z,,CASH TOP-UP,,,USD 40,USD,1.2121
